Majority Vote classifier

1st Fold:
   param_hstgm__num_buckets  mean_test_score  std_test_score  rank_test_score
0                         2         0.999667        0.000064                1
20                       22         0.999664        0.000065                2
10                       12         0.999664        0.000065                2
14                       16         0.999658        0.000066                4
27                       29         0.999658        0.000065                5
4                         6         0.999658        0.000065                5
5                         7         0.999658        0.000065                5
22                       24         0.999658        0.000058                5
17                       19         0.999658        0.000065                5
16                       18         0.999658        0.000072                5
26                       28         0.999655        0.000062               11
24                       26         0.999655        0.000076               12
18                       20         0.999655        0.000076               12
1                         3         0.999655        0.000069               12
15                       17         0.999655        0.000069               12
6                         8         0.999655        0.000069               12
3                         5         0.999655        0.000076               12
8                        10         0.999651        0.000074               18
12                       14         0.999651        0.000072               19
9                        11         0.999651        0.000065               19
19                       21         0.999651        0.000080               19
21                       23         0.999651        0.000072               19
25                       27         0.999651        0.000065               19
2                         4         0.999651        0.000072               19
28                       30         0.999651        0.000080               19
13                       15         0.999648        0.000077               26
23                       25         0.999645        0.000074               27
11                       13         0.999645        0.000081               28
7                         9         0.999645        0.000089               28
30                       32         0.999642        0.000072               30
29                       31         0.999642        0.000086               31

2nd Fold:
   param_hstgm__num_buckets  mean_test_score  std_test_score  rank_test_score
20                       22         0.999700        0.000046                1
3                         5         0.999700        0.000046                1
7                         9         0.999696        0.000049                3
6                         8         0.999696        0.000041                4
29                       31         0.999693        0.000052                5
18                       20         0.999693        0.000052                5
10                       12         0.999693        0.000044                7
15                       17         0.999693        0.000037                7
5                         7         0.999693        0.000044                7
4                         6         0.999693        0.000044                7
2                         4         0.999693        0.000044                7
23                       25         0.999690        0.000043               12
21                       23         0.999690        0.000043               12
14                       16         0.999690        0.000051               14
13                       15         0.999690        0.000056               15
8                        10         0.999690        0.000056               15
11                       13         0.999690        0.000047               17
30                       32         0.999687        0.000042               18
0                         2         0.999687        0.000054               19
17                       19         0.999687        0.000059               20
19                       21         0.999687        0.000051               21
1                         3         0.999687        0.000051               21
12                       14         0.999687        0.000043               21
26                       28         0.999684        0.000058               24
9                        11         0.999684        0.000064               25
16                       18         0.999684        0.000055               26
25                       27         0.999684        0.000055               26
24                       26         0.999677        0.000072               28
22                       24         0.999677        0.000064               29
27                       29         0.999674        0.000065               30
28                       30         0.999674        0.000065               30

3rd Fold:
   param_hstgm__num_buckets  mean_test_score  std_test_score  rank_test_score
0                         2         0.999687        0.000043                1
3                         5         0.999687        0.000043                1
28                       30         0.999687        0.000049                3
10                       12         0.999687        0.000049                3
12                       14         0.999687        0.000042                3
14                       16         0.999687        0.000049                3
2                         4         0.999684        0.000045                7
6                         8         0.999684        0.000052                7
17                       19         0.999680        0.000056                9
7                         9         0.999680        0.000049                9
8                        10         0.999680        0.000056                9
27                       29         0.999680        0.000056                9
13                       15         0.999680        0.000056                9
18                       20         0.999680        0.000049                9
4                         6         0.999677        0.000046               15
20                       22         0.999677        0.000052               16
15                       17         0.999677        0.000046               16
16                       18         0.999677        0.000060               16
1                         3         0.999677        0.000052               16
11                       13         0.999674        0.000049               20
21                       23         0.999674        0.000049               20
25                       27         0.999674        0.000057               20
9                        11         0.999674        0.000057               20
5                         7         0.999674        0.000057               20
19                       21         0.999671        0.000061               25
22                       24         0.999671        0.000061               25
24                       26         0.999671        0.000054               25
26                       28         0.999667        0.000066               28
30                       32         0.999667        0.000058               28
29                       31         0.999667        0.000073               30
23                       25         0.999661        0.000075               31

4th Fold:
   param_hstgm__num_buckets  mean_test_score  std_test_score  rank_test_score
0                         2         0.999719        0.000072                1
3                         5         0.999719        0.000072                1
18                       20         0.999719        0.000072                1
15                       17         0.999719        0.000072                1
2                         4         0.999719        0.000072                1
6                         8         0.999719        0.000079                6
22                       24         0.999719        0.000079                6
19                       21         0.999719        0.000079                6
17                       19         0.999716        0.000077                9
21                       23         0.999716        0.000077                9
7                         9         0.999716        0.000085               11
27                       29         0.999716        0.000085               11
9                        11         0.999716        0.000085               11
12                       14         0.999713        0.000077               14
10                       12         0.999713        0.000084               15
11                       13         0.999713        0.000084               15
20                       22         0.999713        0.000082               15
4                         6         0.999713        0.000090               18
5                         7         0.999713        0.000090               18
23                       25         0.999709        0.000082               20
25                       27         0.999709        0.000080               20
26                       28         0.999709        0.000082               20
16                       18         0.999709        0.000096               23
8                        10         0.999709        0.000096               23
30                       32         0.999706        0.000086               25
1                         3         0.999706        0.000093               26
24                       26         0.999706        0.000093               26
29                       31         0.999706        0.000093               26
13                       15         0.999706        0.000101               29
28                       30         0.999706        0.000101               29
14                       16         0.999703        0.000095               31

5th Fold:
   param_hstgm__num_buckets  mean_test_score  std_test_score  rank_test_score
0                         2         0.999674        0.000056                1
28                       30         0.999671        0.000052                2
12                       14         0.999667        0.000049                3
27                       29         0.999667        0.000049                3
30                       32         0.999667        0.000049                3
6                         8         0.999667        0.000056                6
24                       26         0.999667        0.000056                6
20                       22         0.999667        0.000056                6
19                       21         0.999667        0.000056                6
23                       25         0.999664        0.000053               10
18                       20         0.999664        0.000060               11
8                        10         0.999664        0.000060               11
25                       27         0.999664        0.000060               11
3                         5         0.999661        0.000064               14
22                       24         0.999661        0.000064               14
16                       18         0.999661        0.000064               14
14                       16         0.999658        0.000055               17
5                         7         0.999658        0.000069               18
17                       19         0.999658        0.000069               18
4                         6         0.999658        0.000069               18
11                       13         0.999658        0.000069               18
15                       17         0.999658        0.000069               18
1                         3         0.999655        0.000073               23
21                       23         0.999655        0.000073               23
26                       28         0.999655        0.000073               23
13                       15         0.999651        0.000078               26
10                       12         0.999651        0.000078               26
